Tournament,Date,Stadium,Team 1,Team 2,Team 1 Score,Team 2 Score,Match_ID
"New Zealand tour of Bangladesh, 2026",,Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium,Unknown,Unknown,0/0,0/0,150129
"New Zealand tour of Bangladesh, 2026",,Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium,Unknown,Unknown,182/6,183/4,150118
ICC Cricket World Cup League Two 2023-27,,Tribhuvan University International Cricket Ground,Unknown,Unknown,268/7,243/10,153171
ICC Cricket World Cup League Two 2023-27,,Tribhuvan University International Cricket Ground,Unknown,Unknown,305/8,155/7,153175
ICC Cricket World Cup League Two 2023-27,,Tribhuvan University International Cricket Ground,Unknown,Unknown,200/10,163/10,153160
"Indonesia tour of Malaysia, 2026",,Bayuemas Oval,Unknown,Unknown,87/6,88/4,153688
Indian Premier League 2026,,Narendra Modi Stadium,Unknown,Unknown,155/10,158/6,151965
Indian Premier League 2026,,Wankhede Stadium,Unknown,Unknown,243/5,249/4,151954
Indian Premier League 2026,,MA Chidambaram Stadium,Unknown,Unknown,158/7,162/2,151913
Indian Premier League 2026,,Arun Jaitley Stadium,Unknown,Unknown,75/10,77/1,151935
Indian Premier League 2026,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Unknown,Unknown,222/4,228/4,151943
Indian Premier League 2026,,Arun Jaitley Stadium,Unknown,Unknown,264/2,265/4,151891
Indian Premier League 2026,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Unknown,Unknown,155/7,155/8,151924
Indian Premier League 2026,,Sawai Mansingh Stadium,Unknown,Unknown,228/6,229/5,151902
Indian Premier League 2026,,M.Chinnaswamy Stadium,Unknown,Unknown,205/3,206/5,151889
Pakistan Super League 2026,,Gaddafi Stadium,Unknown,Unknown,159/9,162/2,149376
Pakistan Super League 2026,,Gaddafi Stadium,Unknown,Unknown,199/4,200/4,149336
Pakistan Super League 2026,,Gaddafi Stadium,Unknown,Unknown,195/6,199/1,149325
Pakistan Super League 2026,,National Stadium,Unknown,Unknown,192/7,193/6,149358
Pakistan Super League 2026,,National Stadium,Unknown,Unknown,221/7,151/10,149365
Pakistan Super League 2026,,National Stadium,Unknown,Unknown,244/6,136/10,149347
Pakistan Super League 2026,,National Stadium,Unknown,Unknown,80/10,83/2,149314
County Championship Division One 2026,,Sophia Gardens,Unknown,Unknown,440/10,586/7,142176
County Championship Division One 2026,,Headingley,Unknown,Unknown,502/10,511/10,142154
County Championship Division One 2026,,Kennington Oval,Unknown,Unknown,409/10,472/10,142165
County Championship Division One 2026,,Trent Bridge,Unknown,Unknown,459/10,279/10,142143
"New Zealand A tour of Sri Lanka, 2026",,Mahinda Rajapaksa International Stadium,Unknown,Unknown,305/10,518/10,150338
County Championship Division Two 2026,,County Ground,Unknown,Unknown,498/10,281/10,142838
County Championship Division Two 2026,,New Road,Unknown,Unknown,196/10,447/10,142860
County Championship Division Two 2026,,Riverside Ground,Unknown,Unknown,370/10,295/10,142849
India Women tour of South Africa 2026,,Willowmoore Park,Unknown,Unknown,155/6,132/8,144430
India Women tour of South Africa 2026,,The Wanderers Stadium,Unknown,Unknown,185/5,171/9,144419
"Sri Lanka Women tour of Bangladesh, 2026",,Sylhet International Cricket Stadium,Unknown,Unknown,154/4,133/5,150476
"Sri Lanka Women tour of Bangladesh, 2026",,Sylhet International Cricket Stadium,Unknown,Unknown,161/4,136/7,150465
"Sri Lanka Women tour of Bangladesh, 2026",,Shahid Kamruzzaman Stadium,Unknown,Unknown,213/8,214/3,150454
Chile Women tour of Costa Rica 2026,,Los Reyes Polo Club ,Unknown,Unknown,95/10,96/2,153809
Chile Women tour of Costa Rica 2026,,Los Reyes Polo Club ,Unknown,Unknown,46/10,48/1,153831
Chile Women tour of Costa Rica 2026,,Los Reyes Polo Club ,Unknown,Unknown,81/8,83/2,153820
ICC Womens T20I Challenge Trophy 2026,,Gahanga International Cricket Stadium,Unknown,Unknown,162/4,90/8,153517
ICC Womens T20I Challenge Trophy 2026,,Gahanga B Ground,Unknown,Unknown,103/7,65/10,153528
ICC Womens T20I Challenge Trophy 2026,,Gahanga B Ground,Unknown,Unknown,133/5,130/3,153484
ICC Womens T20I Challenge Trophy 2026,,Gahanga International Cricket Stadium,Unknown,Unknown,99/8,101/1,153541
ICC Womens T20I Challenge Trophy 2026,,Gahanga B Ground,Unknown,Unknown,153/2,96/4,153530
ICC Womens T20I Challenge Trophy 2026,,Gahanga B Ground,Unknown,Unknown,86/6,89/3,153495
ICC Womens T20I Challenge Trophy 2026,,Gahanga International Cricket Stadium,Unknown,Unknown,146/6,74/10,153483
ICC Womens T20I Challenge Trophy 2026,,Gahanga International Cricket Stadium,Unknown,Unknown,132/3,49/10,153552
ICC Womens T20I Challenge Trophy 2026,,Gahanga International Cricket Stadium,Unknown,Unknown,97/5,75/10,153472
ICC Womens T20I Challenge Trophy 2026,,Gahanga International Cricket Stadium,Unknown,Unknown,123/7,126/4,153506
